Study ID,Study Name,Study Description,Study Contact,Line ID,Line Name,Line Description,Control,Strain(s),Line Experimenter,Line Contact,Protocol ID,Protocol Name,Assay ID,Assay Name,Type,Formal Type ID,Measurement Updated,X Units,Y Units,0.0
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5224,A1,None,F,,,,1,Targeted Proteomics,5243,A1,Hydroxymethylglutaryl-CoA synthase,sp|P54839|HMCS_YEAST,2020-02-19 00:43:14.697896+00:00,hours,,13453.77972
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5224,A1,None,F,,,,1,Targeted Proteomics,5243,A1,Farnesyl pyrophosphate synthase,sp|P08524|FPPS_YEAST,2020-02-19 00:43:14.697896+00:00,hours,,26290.89553
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5224,A1,None,F,,,,1,Targeted Proteomics,5243,A1,"R-linalool synthase, chloroplastic",sp|Q8H2B4|LLOS_MENAQ,2020-02-19 00:43:14.697896+00:00,hours,,3551.33455
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5224,A1,None,F,,,,1,Targeted Proteomics,5243,A1,"Geraniol synthase, chloroplastic",sp|Q6USK1|GERS_OCIBA,2020-02-19 00:43:14.697896+00:00,hours,,3696.098
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5225,A2,None,F,,,,1,Targeted Proteomics,5244,A2,Hydroxymethylglutaryl-CoA synthase,sp|P54839|HMCS_YEAST,2020-02-19 00:43:14.697896+00:00,hours,,46294.30001
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5225,A2,None,F,,,,1,Targeted Proteomics,5244,A2,Farnesyl pyrophosphate synthase,sp|P08524|FPPS_YEAST,2020-02-19 00:43:14.697896+00:00,hours,,61749.70979
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5225,A2,None,F,,,,1,Targeted Proteomics,5244,A2,"R-linalool synthase, chloroplastic",sp|Q8H2B4|LLOS_MENAQ,2020-02-19 00:43:14.697896+00:00,hours,,7402.68878
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5225,A2,None,F,,,,1,Targeted Proteomics,5244,A2,"Geraniol synthase, chloroplastic",sp|Q6USK1|GERS_OCIBA,2020-02-19 00:43:14.697896+00:00,hours,,694.59326
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5226,A4,None,F,,,,1,Targeted Proteomics,5245,A4,Hydroxymethylglutaryl-CoA synthase,sp|P54839|HMCS_YEAST,2020-02-19 00:43:14.697896+00:00,hours,,16710.98006
4432,Engineering monoterpene biosynthesis in brewing yeast,,HGMartin@lbl.gov,5226,A4,None,F,,,,1,Targeted Proteomics,5245,A4,Farnesyl pyrophosphate synthase,sp|P08524|FPPS_YEAST,2020-02-19 00:43:14.697896+00:00,hours,,30271.12122
